tvg_id,name,status,source,source_channel_id
Band.br@SD,Band (576p),OK,EPG.pw Brasil,523315
Record.br@SD,Record (576p),OK,EPG.pw Brasil,523282
RedeTV.br@SD,Rede TV! (720p),OK,EPG.pw Brasil,523301
SBTNacional.br@SD,SBT Nacional (720p),OK,EPG.pw Brasil,523298
TVBahia.br@HD,TV Bahia (1080i),SEM_EPG,,
TVEBahia.br@HD,TVE Bahia (1080p),SEM_EPG,,
MarkRoberTV.br,Mark Rober TV,SEM_EPG,,
LoveNature.br,Love Nature,SEM_EPG,,
61b790b985706b00072cb797,Adrenalina Pura TV Brazil,OK,Pluto TV Brasil,61b790b985706b00072cb797
AdultSwimLatinAmerica.us@Brazil,Adult Swim Latin America Brazil (720p),SEM_EPG,,
AgroCanal.br@SD,AgroCanal,SEM_EPG,,
AgroMais.br@SD,AgroMais (720p),SEM_EPG,,
AmazonSat.br@SD,Amazon Sat (1080p),SEM_EPG,,
ArarunaTV.br@SD,Araruna TV,SEM_EPG,,
Arte1.br@SD,Arte 1 (720p),OK,EPG.pw Brasil,523338
6759eeb1bd523200083b4f29,Avatar: A lenda de Aang,OK,Pluto TV Brasil,6759eeb1bd523200083b4f29
AWTV.br@HD,AWTV (1080p) [Geo-blocked],SEM_EPG,,
AXN.br@SD,AXN (720p),OK,EPG.pw Brasil,523313
5f4fb4cf605ddf000748e16f,BabyFirst Brazil,OK,Pluto TV Brasil,5f4fb4cf605ddf000748e16f
BandSports.br@SD,Band Sports (720p),OK,EPG.pw Brasil,523330
BandNews.br@SD,BandNews (720p),OK,EPG.pw Brasil,523314
BemMaisTV.br@HD,Bem Mais TV (1080p),SEM_EPG,,
5ff768b6a4c8b80008498610,BET Pluto TV (United States) BR,OK,Pluto TV Brasil,5ff768b6a4c8b80008498610
666c9c60a7efd40008f552f0,BM&C News (720p),OK,Pluto TV Brasil,666c9c60a7efd40008f552f0
BoasNovas.br@SD,Boas Novas (1080p),SEM_EPG,,
62545c0b002f4b0007688b61,Bob Esponja Calca Quadrada (720p),OK,Pluto TV Brasil,62545c0b002f4b0007688b61
BoxKidsTV.br@SD,Box Kids TV (720p),SEM_EPG,,
BR8TV.br@SD,BR8 TV,SEM_EPG,,
Canal25Jundiai.br@SD,Canal 25 Jundiaí (404p) [Not 24/7],SEM_EPG,,
CanaldoBoi.br@SD,Canal do Boi (720p),OK,EPG.pw Brasil,523289
CanalEducacao.br@SD,Canal Educação (720p),SEM_EPG,,
CanalFDR.br@SD,Canal FDR,SEM_EPG,,
CanalFutura.br@SD,Canal Futura (720p),SEM_EPG,,
CanalGov.br@SD,Canal Gov (720p),SEM_EPG,,
CanalMetropolitanodeNoticias.br@SD,Canal Metropolitano de Noticias,SEM_EPG,,
CanalRural.br@SD,Canal Rural (720p),OK,EPG.pw Brasil,523340
CanalSete.br@SD,Canal Sete,SEM_EPG,,
CanalUOL.br@SD,Canal UOL (1080p),SEM_EPG,,
ChefTV.br@SD,Chef TV (720p),SEM_EPG,,
ChromaTV.br@SD,Chroma TV (480p),SEM_EPG,,
5f12111c9e6c2c00078ef3bb,Cine Terror BR,OK,Pluto TV Brasil,5f12111c9e6c2c00078ef3bb
ClassiqueTV.br@SD,Classique TV (360p),SEM_EPG,,
