canal,url,status,resultado,tipos,codecs,upstream_url,upstream_status,upstream_resultado,upstream_tipos,upstream_codecs
Band (576p),https://iptv.jvleite7.workers.dev/live/57b9e9857f989fc1.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Record (576p),https://iptv.jvleite7.workers.dev/live/89113f46a24461a8.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Rede TV! (720p),http://45.162.64.114/REDE_TV/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
SBT Nacional (720p),https://iptv.jvleite7.workers.dev/live/ed977ca6b0c95341.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
TV Bahia (1080i),https://iptv.jvleite7.workers.dev/live/c101a34c66a2f227.m3u8,OK,decoded,audio;video,aac;h264,,,,,
TVE Bahia (1080p),https://iptv.jvleite7.workers.dev/live/cf2fcf23585ace7c.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Mark Rober TV,https://iptv.jvleite7.workers.dev/live/8dc917f90459fac4.m3u8,OK,decoded,audio;data;video,aac;hevc;scte_35,,,,,
Love Nature,https://d1si3n1st4nkgb.cloudfront.net/10000/88876007/hls/master.m3u8?ads.xumo_channelId=88876007,OK,decoded,audio;video,aac;h264,,,,,
A&E Latin America Brazil (720p),http://170.83.16.50/AeE/index.m3u8,OK,decoded,audio,aac,,,,,
Adesso TV (720p),https://iptv.jvleite7.workers.dev/live/dd7b48f1fe496ba7.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Adrenalina Pura TV Brazil,https://iptv.jvleite7.workers.dev/pluto/61b790b985706b00072cb797.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Adult Swim Latin America Brazil (720p),http://168.197.104.22/ADULT_SWIM/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
AgroCanal,https://iptv.jvleite7.workers.dev/live/d980d6245a65302d.m3u8,OK,decoded,audio;video,aac;h264,,,,,
AgroMais (720p),http://45.162.64.114/AGROMAIS/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Amazon Sat (1080p),https://iptv.jvleite7.workers.dev/live/3197750150e5d5d5.m3u8,OK,decoded,audio;video,aac;h264,,,,,
AMC Latin America Brazil (720p),http://170.83.49.66:8083/AMCHD/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Araruna TV,https://iptv.jvleite7.workers.dev/live/af8c3986275b6546.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Arte 1 (720p),http://45.162.64.114/ARTE1/index.m3u8,OK,decoded,video,h264,,,,,
Avatar: A lenda de Aang,https://iptv.jvleite7.workers.dev/pluto/6759eeb1bd523200083b4f29.m3u8,OK,decoded,audio;video,aac;h264,,,,,
AWTV (1080p) [Geo-blocked],https://iptv.jvleite7.workers.dev/live/95248759728bb3de.m3u8,OK,decoded,audio;video,aac;h264,,,,,
AXN (Brazil) (720p),http://170.83.16.50/AXN/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
BabyFirst Brazil,https://iptv.jvleite7.workers.dev/pluto/5f4fb4cf605ddf000748e16f.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Band Sports (720p),http://45.162.64.114/BAND_SPORTS/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
BandNews (720p),http://45.162.64.114/BAND_NEWS/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Bem Mais TV (1080p),https://iptv.jvleite7.workers.dev/live/af0be5e1fc06541a.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
BET Pluto TV BR,https://iptv.jvleite7.workers.dev/pluto/5ff768b6a4c8b80008498610.m3u8,OK,decoded,audio;video,aac;h264,,,,,
BM&C News (720p),https://iptv.jvleite7.workers.dev/pluto/666c9c60a7efd40008f552f0.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Boas Novas (1080p),https://iptv.jvleite7.workers.dev/live/6caff20210e3446b.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Bob Esponja Calca Quadrada (720p),https://iptv.jvleite7.workers.dev/pluto/62545c0b002f4b0007688b61.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Box Kids TV (720p),http://170.83.49.66:8083/BOXKIDSHD/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
BR8 TV,https://iptv.jvleite7.workers.dev/live/71306f03f5631a8c.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Canal 25 Jundiaí (404p) [Not 24/7],https://iptv.jvleite7.workers.dev/live/8be3148d85e330e0.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal do Boi (720p),http://45.162.64.114/CANAL_DO_BOI/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Educação (720p),https://iptv.jvleite7.workers.dev/live/b86764c528f849c6.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal FDR,https://iptv.jvleite7.workers.dev/live/573f36621563015b.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Futura (720p),http://45.162.64.114/FUTURA/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Gov (720p),https://iptv.jvleite7.workers.dev/live/54d0bfb9f9689c92.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Metropolitano de Noticias,https://iptv.jvleite7.workers.dev/live/d2b1bb92360af81b.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Rural (720p),http://170.83.49.66:8083/CANALRURALHD/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Canal Sete,https://iptv.jvleite7.workers.dev/live/73b2a85beb94ee8c.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Canal UOL (1080p),https://iptv.jvleite7.workers.dev/live/692a3c38ec9b184d.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Chef TV (720p),http://168.197.104.22/CHEF_TV/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Chroma TV (480p),https://iptv.jvleite7.workers.dev/live/6861cb0189f55ac3.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Cine Terror BR,https://iptv.jvleite7.workers.dev/pluto/5f12111c9e6c2c00078ef3bb.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Classique TV (360p),https://iptv.jvleite7.workers.dev/live/ed91809c5deb0ece.m3u8,OK,decoded,audio;video,aac;h264,,,,,
COM Brasil (720p),https://iptv.jvleite7.workers.dev/live/bda72d2f1f418131.m3u8,OK,decoded,audio;video,aac;hevc,,,,,
Comedy Central Pluto TV BR,https://iptv.jvleite7.workers.dev/pluto/5f357e91b18f0b00073583d2.m3u8,OK,decoded,audio,aac,,,,,
Comedy Central South Park,https://iptv.jvleite7.workers.dev/pluto/609ae66b359b270007869ff1.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Conecta Mais TV (720p),https://iptv.jvleite7.workers.dev/live/26316af23b948204.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ConecTV Brasil (720p),https://iptv.jvleite7.workers.dev/live/9500b6553f4fd76d.m3u8,OK,decoded,audio;video,aac;h264,,,,,
CSI: Miami BR,https://iptv.jvleite7.workers.dev/pluto/63eb9c5351f5d000085e8d7e.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Cultura Fast (720p),https://iptv.jvleite7.workers.dev/live/85a9adc299ad7691.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Demais TV (720p),https://iptv.jvleite7.workers.dev/live/ecfb117faff351c9.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Despertar TV (720p),https://iptv.jvleite7.workers.dev/live/56518eb6eb443f48.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Detetives Medicos,https://iptv.jvleite7.workers.dev/pluto/638df93ae2f2a3000737c168.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Diff'rent Strokes Arnold,https://iptv.jvleite7.workers.dev/pluto/61f1d27a189ed10007b7393e.m3u8,OK,decoded,audio;video,aac;h264,,,,,
DumDum (720p),http://45.162.64.114/ZOOMOO_KIDS/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Elemental Channel,https://iptv.jvleite7.workers.dev/live/ad459b6508f2dca3.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ESPN 3 (720p),http://181.78.197.59:8000/play/a081/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ESPN 4 (1080p),http://181.78.197.59:8000/play/a07n/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ESPN (1080p),http://181.78.197.59:8000/play/a07z/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
EUTV,https://iptv.jvleite7.workers.dev/live/742879da65b0b36f.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
FailArmy Brazil,https://iptv.jvleite7.workers.dev/pluto/5f5141c1605ddf000748eb1b.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Fala Litoral (480p),https://iptv.jvleite7.workers.dev/live/5030735364d54b4f.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
FIFA+ Portuguese (720p),https://iptv.jvleite7.workers.dev/live/ee0ff293a0ade5a9.m3u8,OK,decoded,audio;data;video,aac;h264;scte_35;timed_id3,,,,,
Filmes Suspense,https://iptv.jvleite7.workers.dev/pluto/5f171d3442a0500007362f22.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Fish TV (720p),http://45.162.64.114/FISH_TV/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Fonte TV,https://iptv.jvleite7.workers.dev/live/874c397db284be9f.m3u8,OK,decoded,audio;data;video,aac;h264;timed_id3,,,,,
Fora Tedio TV (720p),https://iptv.jvleite7.workers.dev/live/4eb02d35045a96dc.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Futura (720p),http://168.197.104.22/FUTURA/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ge Fast (1080p),https://iptv.jvleite7.workers.dev/live/2b10ce115e6d7856.m3u8,OK,decoded,audio;data;video,aac;h264;scte_35;timed_id3,,,,,
Gospel Cartoon (360p),https://iptv.jvleite7.workers.dev/live/44206badad025b2c.m3u8,OK,decoded,audio;video,aac;h264,,,,,
Gospel Movie TV (360p),https://iptv.jvleite7.workers.dev/live/698015f77c3bc7c5.m3u8,OK,decoded,audio;video,aac;h264,,,,,
History 2 Latin America Brazil (720p),http://45.177.114.114/HISTORY_2/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
History (Brazil) (720p),http://45.177.114.114/HISTORY/index.m3u8,OK,decoded,audio;video,aac;h264,,,,,
iCarly (United States),https://iptv.jvleite7.workers.dev/pluto/620ff46e0a576e0007dc2f89.m3u8,OK,decoded,audio;video,aac;h264,,,,,
ISTV (Brazil) (720p) [Not 24/7],https://iptv.jvleite7.workers.dev/live/ac2024a8e23820d0.m3u8,OK,decoded,audio;video,aac;h264,,,,,
J3NEWS TV,https://iptv.jvleite7.workers.dev/live/b71abc5a96d29f69.m3u8,OK,decoded,audio;video,aac;h264,,,,,
